"SiteID" "Sediment Type" "Species" "Type" "Biome" "Height x longest canopy axis in 1994 (cm^2)" "Standard Deviation of area in 1994 (cm^2)" "Number of individuals in 1994" "Height x longest canopy axis in 2008 (cm^2)" "Standard Deviation of area in 2008 (cm^2)" "Number of individuals in 2008" "Height x longest canopy axis in 2012 (cm^2)" "Standard Deviation of area in 2012 (cm^2)" "Number of individuals in 2012"
"69" "5a" "shale" "Themeda triandra" "C4 grass" "Mixed" 618 304 4 NA NA NA NA NA NA
"70" "5b" "sandstone" "Themeda triandra" "C4 grass" "Mixed" 257 269 8 NA NA NA NA NA NA
"71" "2a" "shale" "Schotia latifolia" "Tree" "Thicket" 119 131 22 NA NA NA 1708 1785 10
"72" "2b" "sandstone" "Schotia latifolia" "Tree" "Thicket" 263 315 24 NA NA NA 0 0 0
"73" "3" "africa" "Schotia latifolia" "Tree" "Thicket" 1052 NA 22 NA NA NA 1625 1370 25
"74" "4a" "shale" "Schotia latifolia" "Tree" "Thicket" 128 71 18 NA NA NA 494 717 18
"75" "4b" "sandstone" "Schotia latifolia" "Tree" "Thicket" 96 39 18 NA NA NA 112 84.7 5
"76" "5a" "shale" "Schotia latifolia" "Tree" "Thicket" 231 211 17 NA NA NA 3742 2665 19
"77" "5b" "sandstone" "Schotia latifolia" "Tree" "Thicket" 39 27 20 NA NA NA 0 0 0
"78" "2a" "shale" "Smellophyllum capense" "Tree" "Thicket" 77 0 1 NA NA NA 0 0 0
"79" "2b" "sandstone" "Smellophyllum capense" "Tree" "Thicket" 176 102 10 NA NA NA 0 0 0
"80" "3" "africa" "Smellophyllum capense" "Tree" "Thicket" 97 NA 7 NA NA NA 0 0 0
"81" "4a" "shale" "Smellophyllum capense" "Tree" "Thicket" 88 43 13 NA NA NA 161 91 2
"82" "4b" "sandstone" "Smellophyllum capense" "Tree" "Thicket" 67 41 14 NA NA NA 0 0 0
"83" "5a" "shale" "Smellophyllum capense" "Tree" "Thicket" 50 11 8 NA NA NA 1000 0 1
"84" "5b" "sandstone" "Smellophyllum capense" "Tree" "Thicket" 39 24 15 NA NA NA 0 0 0
"85" "2a" "shale" "Acacia karoo" "Tree" "Thicket" 105 98 57 NA NA NA 41080 36973 5
"86" "2b" "sandstone" "Acacia karoo" "Tree" "Thicket" 242 254 39 NA NA NA 0 0 0
"87" "3" "africa" "Acacia karoo" "Tree" "Thicket" 605 NA 50 NA NA NA 3825 3190 23
"88" "4a" "shale" "Acacia karoo" "Tree" "Thicket" 187 190 66 NA NA NA 1142 2019 30
"89" "4b" "sandstone" "Acacia karoo" "Tree" "Thicket" 59 61 66 NA NA NA 300 0 1
"90" "5a" "shale" "Acacia karoo" "Tree" "Thicket" 263 264 51 NA NA NA 2859 3942 20
"91" "5b" "sandstone" "Acacia karoo" "Tree" "Thicket" 8 8 49 NA NA NA 0 0 0
"92" "2a" "shale" "Crassula ovata" "Succulent" "Thicket" 84 56 17 NA NA NA 10450 0 1
"93" "2b" "sandstone" "Crassula ovata" "Succulent" "Thicket" 76 39 17 NA NA NA 1718 625 4
"94" "3" "africa" "Crassula ovata" "Succulent" "Thicket" 75 NA 13 NA NA NA 0 0 0
"95" "4a" "shale" "Crassula ovata" "Succulent" "Thicket" 86 49 19 NA NA NA 0 0 0
"96" "4b" "sandstone" "Crassula ovata" "Succulent" "Thicket" 108 53 17 NA NA NA 0 0 0
"97" "5a" "shale" "Crassula ovata" "Succulent" "Thicket" 165 122 15 NA NA NA 0 0 0
"98" "5b" "sandstone" "Crassula ovata" "Succulent" "Thicket" 49 22 18 NA NA NA 0 0 0
"99" "2a" "shale" "Portulacaria afra" "Succulent" "Thicket" 308 375 19 NA NA NA 3701 3778 10
"100" "2b" "sandstone" "Portulacaria afra" "Succulent" "Thicket" 87 69 19 NA NA NA 556 556 19
"101" "3" "africa" "Portulacaria afra" "Succulent" "Thicket" 95 NA 20 NA NA NA 563 685 3
"102" "4a" "shale" "Portulacaria afra" "Succulent" "Thicket" 22 14 20 NA NA NA 0 0 0
"103" "4b" "sandstone" "Portulacaria afra" "Succulent" "Thicket" 41 41 19 NA NA NA 0 0 0
"104" "5a" "shale" "Portulacaria afra" "Succulent" "Thicket" 34 40 17 NA NA NA 0 0 0
"105" "5b" "sandstone" "Portulacaria afra" "Succulent" "Thicket" 15 10 16 NA NA NA 0 0 0
